Brand,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner,Engine_CC,Mileage,Seats,Price
Mahindra,2018,91951,Petrol,Manual,1,1197,21.7,5,625000
Tata,2023,32607,CNG,Automatic,1,1396,18.6,5,848000
Hyundai,2024,60518,Diesel,Manual,1,1199,20.3,5,857000
Volkswagen,2022,97493,Diesel,Manual,1,1199,19.1,5,822000
Mahindra,2016,61333,Petrol,Manual,1,998,23.7,5,616000
Toyota,2024,18473,Diesel,Automatic,3,1199,24.0,5,1339000
Honda,2020,8248,Petrol,Automatic,2,1598,22.4,5,968000
Honda,2015,55140,Petrol,Automatic,1,1998,16.5,5,647000
Maruti,2024,30313,Diesel,Automatic,1,1197,24.6,5,863000
Mahindra,2020,94065,CNG,Automatic,2,1197,23.4,5,742000
Renault,2018,10014,Petrol,Automatic,1,1497,17.7,5,620000
Renault,2017,38386,Petrol,Automatic,1,2198,20.9,5,605000
Ford,2015,92062,Diesel,Automatic,1,1197,21.4,5,299000
Tata,2024,58528,Diesel,Automatic,1,2198,13.7,7,1013000
Ford,2024,103059,Petrol,Automatic,1,998,16.0,5,701000
Renault,2023,90813,Diesel,Automatic,1,1248,18.6,5,753000
Hyundai,2018,72561,CNG,Automatic,1,1248,20.7,5,555000
Honda,2014,11057,Petrol,Automatic,1,1197,17.9,5,612000
Volkswagen,2020,36979,Petrol,Manual,2,1197,22.1,5,749000
Mahindra,2021,11582,CNG,Manual,2,1197,17.9,7,948000
Mahindra,2022,83047,Diesel,Automatic,1,2198,17.5,7,1007000
Volkswagen,2021,38972,Petrol,Automatic,2,2198,18.3,5,964000
Volkswagen,2015,98525,Diesel,Manual,1,1497,23.6,5,435000
Honda,2017,55205,CNG,Manual,1,1197,17.4,5,657000
Volkswagen,2020,13161,Petrol,Automatic,1,998,23.1,7,902000
Maruti,2019,44139,Diesel,Automatic,1,2198,22.4,5,687000
Toyota,2018,62125,Diesel,Manual,1,1598,21.4,7,972000
Renault,2022,8534,Diesel,Manual,1,1598,13.8,7,769000
Maruti,2018,54689,Diesel,Manual,1,1497,21.9,7,447000
Ford,2018,114433,Petrol,Automatic,1,2198,12.7,5,449000
Hyundai,2024,10276,Petrol,Manual,1,998,20.1,5,917000
Volkswagen,2024,19993,CNG,Manual,1,1396,22.0,5,1118000
Renault,2015,106946,Petrol,Automatic,1,998,24.1,7,234000
Toyota,2015,82607,CNG,Manual,1,1396,23.1,5,798000
Maruti,2019,74827,Diesel,Automatic,1,1497,12.2,7,491000
Hyundai,2020,52472,CNG,Automatic,1,1598,14.3,5,770000
Mahindra,2021,65931,Diesel,Automatic,1,1248,22.8,5,914000
Volkswagen,2017,103366,Diesel,Automatic,1,1998,23.1,5,688000
Toyota,2019,109573,Diesel,Automatic,1,1396,19.2,5,942000
Toyota,2020,69038,CNG,Manual,1,1998,17.8,5,1084000
Tata,2017,58005,CNG,Manual,1,1497,18.2,5,476000
Mahindra,2019,51112,CNG,Automatic,1,1396,15.0,5,808000
Hyundai,2022,104901,CNG,Manual,1,1998,15.6,5,712000
Toyota,2018,34816,Diesel,Manual,1,2198,13.6,5,1050000
Mahindra,2018,96411,Petrol,Automatic,1,998,19.5,7,658000
Volkswagen,2019,29164,Petrol,Automatic,2,1998,13.5,5,842000
Volkswagen,2015,80631,CNG,Manual,1,1396,13.1,5,393000
Mahindra,2020,84471,CNG,Manual,2,1598,17.9,7,747000
Renault,2020,45026,CNG,Manual,1,1197,24.3,5,638000
Toyota,2018,91563,Petrol,Manual,1,2198,13.0,5,970000
Volkswagen,2023,66592,Diesel,Manual,1,1396,21.1,7,905000
Toyota,2018,108262,CNG,Manual,1,2198,14.9,5,928000
Honda,2015,12816,Petrol,Automatic,1,1396,17.7,7,676000
Ford,2018,70597,CNG,Automatic,1,998,23.6,5,497000
Tata,2014,16970,Petrol,Manual,3,1396,19.5,5,324000
Mahindra,2024,62963,Diesel,Manual,3,1598,20.3,7,970000
Volkswagen,2019,58523,Diesel,Automatic,1,1199,16.3,7,732000
Ford,2022,9809,Diesel,Manual,1,1497,13.5,7,796000
Maruti,2024,118949,CNG,Automatic,1,1248,18.7,7,688000
Volkswagen,2014,31680,Diesel,Manual,2,1998,23.5,7,536000
Maruti,2024,84806,Petrol,Manual,1,998,19.2,5,627000
Hyundai,2021,20396,CNG,Manual,1,1396,18.6,5,810000
Volkswagen,2021,36946,Diesel,Manual,1,2198,21.7,5,954000
Tata,2020,49548,CNG,Automatic,2,1396,21.4,7,641000
Volkswagen,2022,68483,Diesel,Automatic,1,2198,16.9,5,987000
Toyota,2023,55196,Petrol,Automatic,1,1998,21.2,7,1382000
Honda,2021,9852,Petrol,Automatic,2,1998,13.3,7,990000
Honda,2020,119154,CNG,Manual,1,1396,16.4,7,727000
Hyundai,2019,116718,CNG,Automatic,3,1998,23.3,5,610000
Hyundai,2017,87727,CNG,Automatic,3,1197,17.6,5,435000
Hyundai,2021,26805,CNG,Automatic,2,998,16.2,5,737000
Kia,2019,61450,Petrol,Manual,1,1199,14.2,5,798000
Ford,2023,94539,Petrol,Automatic,2,1199,15.0,5,651000
Tata,2024,6231,Diesel,Automatic,1,1199,13.0,5,984000
Tata,2024,60615,CNG,Automatic,1,1396,14.6,7,884000
Hyundai,2017,54986,CNG,Automatic,1,1396,12.3,7,521000
Maruti,2023,118386,CNG,Manual,2,1998,22.8,5,608000
Renault,2019,33705,CNG,Manual,1,1199,20.2,5,544000
Volkswagen,2014,80965,Diesel,Manual,1,1396,16.2,7,371000
Toyota,2016,108089,CNG,Automatic,1,1396,22.8,5,839000
Tata,2019,110412,Petrol,Automatic,3,1199,21.8,5,477000
Ford,2022,52942,Petrol,Automatic,1,2198,13.6,5,855000
Tata,2023,54941,CNG,Automatic,1,1248,18.1,5,856000
Toyota,2024,13285,CNG,Automatic,2,1396,20.4,5,1377000
Maruti,2014,44893,Diesel,Manual,1,2198,13.8,7,303000
Mahindra,2020,81983,CNG,Manual,2,1197,22.8,7,726000
Maruti,2019,33477,Diesel,Automatic,3,1497,13.3,5,517000
Kia,2014,57184,Diesel,Manual,3,1998,13.2,5,567000
Renault,2014,11629,Diesel,Manual,3,1248,12.9,5,259000
Toyota,2017,48064,Petrol,Manual,1,1199,24.8,5,911000
Hyundai,2024,118567,Petrol,Manual,1,1248,19.7,5,735000
Tata,2014,21614,CNG,Automatic,1,1197,18.2,5,410000
Renault,2015,64245,CNG,Manual,2,998,21.5,5,230000
Maruti,2014,67781,Diesel,Automatic,1,1998,21.3,7,281000
Hyundai,2019,84730,Petrol,Manual,1,2198,21.3,7,705000
Mahindra,2018,64469,CNG,Automatic,1,1197,23.1,5,758000
Volkswagen,2017,59239,Diesel,Automatic,1,1197,16.1,5,669000
Tata,2019,25006,CNG,Automatic,1,1197,13.2,5,634000
Honda,2022,12861,CNG,Automatic,1,1598,16.6,7,1047000
Tata,2023,45953,Diesel,Manual,1,1248,14.0,7,763000
Hyundai,2019,115804,CNG,Automatic,1,1396,19.5,7,583000
Renault,2023,93470,CNG,Manual,1,1396,12.4,5,629000
Kia,2019,5800,Petrol,Manual,1,1598,12.9,5,883000
Mahindra,2017,54308,Diesel,Automatic,1,1497,16.1,5,752000
Renault,2015,11895,Petrol,Manual,2,998,20.8,5,329000
Ford,2021,84570,Diesel,Automatic,1,2198,13.5,7,673000
Tata,2024,93930,CNG,Automatic,1,1396,12.6,7,822000
Maruti,2014,31794,Diesel,Manual,2,1396,15.8,5,160000
Volkswagen,2020,28028,Petrol,Automatic,1,1248,18.5,5,827000
Ford,2014,62176,Petrol,Automatic,2,1497,19.5,7,303000
Ford,2018,20096,Diesel,Manual,3,1199,22.4,7,474000
Hyundai,2020,115688,Petrol,Manual,1,1598,18.8,7,576000
Kia,2017,48655,Petrol,Manual,1,1197,18.9,5,703000
Kia,2024,111828,Petrol,Manual,1,1396,14.6,5,1004000
Hyundai,2016,106298,CNG,Automatic,1,1998,20.9,5,525000
Kia,2016,62640,Petrol,Automatic,1,1396,22.4,5,711000
Mahindra,2015,45685,Diesel,Automatic,1,1497,22.8,5,703000
Hyundai,2023,82867,CNG,Automatic,1,2198,24.4,5,975000
Renault,2024,29672,Diesel,Automatic,1,998,17.9,5,822000
Mahindra,2024,27617,Petrol,Manual,1,1998,18.8,5,1177000
Kia,2018,55779,Diesel,Automatic,1,998,22.3,5,759000
Kia,2015,78133,CNG,Automatic,1,1199,16.3,5,571000
Tata,2024,96551,CNG,Automatic,1,1197,16.0,7,816000
Kia,2016,92833,CNG,Manual,1,1598,18.6,5,608000
Tata,2016,33074,Diesel,Automatic,1,1199,14.0,5,432000
Mahindra,2022,114460,CNG,Manual,1,1199,19.8,5,776000
Honda,2023,111042,Petrol,Automatic,1,1497,20.8,5,966000
Renault,2018,103617,CNG,Automatic,1,1248,16.0,7,369000
Kia,2024,79766,Diesel,Automatic,2,1598,18.5,7,1072000
Toyota,2023,23140,Diesel,Manual,1,1497,19.2,5,1353000
Hyundai,2018,15993,Petrol,Automatic,1,2198,13.9,7,734000
Toyota,2021,50820,Petrol,Automatic,1,2198,16.9,7,1243000
Kia,2017,8694,Diesel,Manual,2,1497,22.3,5,770000
Tata,2021,96235,Petrol,Automatic,1,998,23.8,5,616000
Toyota,2016,76932,CNG,Automatic,1,1396,15.1,5,806000
Toyota,2020,88748,CNG,Automatic,1,1998,19.8,5,1175000
Mahindra,2023,36711,CNG,Manual,1,998,20.0,5,1017000
Ford,2016,92080,CNG,Manual,1,1497,12.9,5,272000
Volkswagen,2014,88318,Diesel,Automatic,1,998,16.6,5,382000
Toyota,2024,87346,Petrol,Automatic,1,1497,19.1,5,1341000
Volkswagen,2021,87802,Petrol,Manual,1,1998,12.5,5,768000
Toyota,2014,46365,Diesel,Automatic,3,2198,18.2,5,888000
Toyota,2018,51789,Petrol,Automatic,1,1497,17.7,7,1043000
Ford,2019,29486,Diesel,Automatic,1,2198,15.5,5,724000
Hyundai,2020,83964,Petrol,Automatic,1,1197,16.3,5,628000
Volkswagen,2023,99065,Diesel,Manual,1,1497,17.8,5,907000
Ford,2018,88816,Petrol,Manual,1,1598,16.7,5,373000
Honda,2023,93878,Diesel,Manual,1,1248,22.1,5,926000
Ford,2023,9244,CNG,Manual,1,1497,16.8,5,866000
Honda,2022,53096,Diesel,Automatic,1,1248,24.5,5,991000
Volkswagen,2022,55723,CNG,Manual,1,1396,21.2,5,933000
Tata,2021,31237,Petrol,Manual,2,1998,14.2,7,711000
Kia,2024,50537,CNG,Manual,1,1396,23.6,5,1169000
Honda,2019,71683,Petrol,Manual,3,1199,15.1,7,585000
Kia,2022,80009,Diesel,Automatic,2,2198,13.7,5,997000
Tata,2020,98969,CNG,Automatic,1,1598,22.7,5,605000
Kia,2024,14720,Diesel,Automatic,1,1497,13.7,5,1197000
Ford,2022,118798,Petrol,Manual,1,1396,14.1,5,521000
Kia,2022,42230,Petrol,Automatic,1,2198,15.6,5,1179000
Mahindra,2015,70873,CNG,Manual,1,1199,14.2,5,503000
Maruti,2014,15646,Petrol,Automatic,1,1598,20.0,5,377000
Mahindra,2018,89136,Diesel,Automatic,1,1598,15.9,5,682000
Honda,2021,59476,Diesel,Automatic,1,1199,16.1,5,897000
Ford,2016,104701,Diesel,Manual,1,1998,13.6,7,302000
Honda,2015,11632,Diesel,Automatic,2,1598,15.2,5,668000
Renault,2019,29881,Petrol,Automatic,3,1998,18.5,5,644000
Maruti,2015,56543,CNG,Automatic,3,1248,19.6,5,177000
Tata,2021,83317,CNG,Automatic,1,998,23.0,7,622000
Tata,2019,105120,Diesel,Automatic,1,998,19.4,5,490000
Mahindra,2018,14637,Diesel,Automatic,2,1396,22.7,5,815000
Hyundai,2020,53915,Diesel,Automatic,2,1248,19.8,7,712000
Maruti,2014,10100,Petrol,Automatic,2,2198,17.9,5,392000
Renault,2019,26299,Diesel,Automatic,1,2198,22.8,7,785000
Tata,2021,111921,Petrol,Automatic,1,1197,24.7,5,662000
Maruti,2023,67205,Diesel,Manual,1,1998,14.2,7,702000
Toyota,2014,80047,CNG,Manual,1,1998,16.1,5,765000
Toyota,2020,70774,CNG,Automatic,2,998,21.2,5,1054000
Kia,2024,67701,CNG,Automatic,1,1199,18.0,5,1121000
Kia,2024,106186,CNG,Automatic,1,1248,24.4,5,1084000
Tata,2017,44008,Diesel,Manual,1,1998,16.1,5,582000
Tata,2018,20974,CNG,Automatic,2,1598,22.6,5,637000
Maruti,2018,98603,Petrol,Automatic,2,1396,21.7,5,341000
Mahindra,2018,78664,CNG,Automatic,1,1248,15.2,5,723000
Toyota,2014,18133,Diesel,Automatic,1,1197,20.9,5,824000
Mahindra,2016,58334,CNG,Automatic,1,1248,21.8,5,645000
Tata,2024,12754,Petrol,Manual,1,998,23.9,5,920000
Honda,2014,114602,Diesel,Automatic,1,1396,23.4,5,455000
Renault,2023,19064,Diesel,Automatic,1,2198,18.8,5,992000
Volkswagen,2018,30272,Petrol,Automatic,1,1998,20.4,5,804000
Kia,2018,79420,CNG,Manual,1,1598,22.8,5,729000
Ford,2024,17502,Petrol,Manual,1,1248,12.1,7,807000
Volkswagen,2018,48204,Diesel,Manual,1,1497,21.0,5,757000
Hyundai,2021,45213,Petrol,Automatic,1,1396,21.0,5,816000
Renault,2017,33721,Petrol,Automatic,1,1497,17.4,7,536000
Toyota,2017,94173,CNG,Manual,1,2198,21.1,5,971000
Hyundai,2014,113629,CNG,Manual,1,1199,14.1,7,153000
Toyota,2023,69071,Petrol,Automatic,2,1998,13.7,7,1291000
Renault,2014,78242,Diesel,Automatic,1,1598,15.3,5,251000
Renault,2015,10936,Diesel,Automatic,1,2198,24.9,5,594000
Maruti,2018,58591,Petrol,Manual,2,1598,16.9,7,404000
Ford,2020,15518,CNG,Manual,1,1497,13.5,7,666000
Honda,2017,114421,Petrol,Manual,3,1998,20.8,7,581000
Ford,2017,37441,Diesel,Automatic,1,1248,24.2,5,476000
Ford,2023,105408,Petrol,Manual,1,1197,19.7,7,656000
Maruti,2017,102064,Petrol,Automatic,1,2198,14.8,5,368000
Mahindra,2018,35692,CNG,Automatic,1,1497,15.1,5,841000
Mahindra,2017,59206,Diesel,Automatic,1,1199,20.1,7,725000
Volkswagen,2014,50143,CNG,Automatic,2,1497,21.1,7,470000
Tata,2020,29101,CNG,Automatic,1,1248,15.9,5,713000
Maruti,2022,59090,Diesel,Manual,1,1396,14.6,5,632000
Kia,2015,75206,CNG,Manual,1,1598,20.8,5,561000
Toyota,2023,99936,CNG,Manual,1,1497,15.9,5,1133000
Toyota,2015,102894,Diesel,Manual,1,1248,17.2,5,718000
Kia,2018,54894,Diesel,Automatic,1,1497,18.7,7,855000
Hyundai,2021,104828,Diesel,Manual,1,1598,12.6,5,610000
Maruti,2018,77523,CNG,Automatic,1,1248,16.3,7,422000
Toyota,2021,77173,CNG,Automatic,1,1998,24.6,7,1255000
Honda,2019,27185,Petrol,Automatic,1,2198,24.9,5,1029000
Maruti,2015,112216,CNG,Manual,2,1598,13.8,5,150000
Honda,2014,33668,CNG,Automatic,1,1998,20.6,5,627000
Mahindra,2022,58914,Petrol,Manual,1,1396,19.0,5,888000
Mahindra,2024,61436,Petrol,Manual,2,2198,13.9,5,1108000
Mahindra,2018,111851,Diesel,Automatic,2,1197,16.8,7,610000
Renault,2017,96388,Petrol,Automatic,1,1197,20.5,5,332000
Ford,2020,54436,CNG,Automatic,1,998,21.1,5,613000
Ford,2024,107809,Diesel,Manual,2,998,15.0,7,591000
Maruti,2015,94709,Diesel,Manual,1,1497,12.2,5,194000
Honda,2020,15084,Diesel,Manual,1,1598,20.8,5,957000
Honda,2015,70639,CNG,Automatic,1,1598,15.0,5,576000
Renault,2023,83067,Diesel,Automatic,1,1396,22.2,7,783000
Toyota,2019,77487,Diesel,Automatic,1,1598,13.1,5,1021000
Hyundai,2015,40123,Petrol,Automatic,1,1199,21.6,5,475000
Hyundai,2015,5680,Diesel,Automatic,1,1396,13.3,5,513000
Ford,2021,78005,CNG,Automatic,1,1197,16.6,5,635000
Renault,2019,118209,Diesel,Manual,1,1598,22.1,5,477000
Mahindra,2016,94825,Diesel,Manual,1,1396,15.5,5,485000
Honda,2020,41170,Diesel,Automatic,1,1197,16.7,5,918000
Volkswagen,2023,85828,Petrol,Automatic,1,1396,12.1,7,896000
Renault,2020,110391,Diesel,Automatic,1,1199,15.9,5,506000
Kia,2016,57198,Diesel,Automatic,1,1998,24.6,5,812000
Ford,2018,112019,Diesel,Automatic,1,1248,19.7,5,445000
Mahindra,2014,100317,Diesel,Manual,1,1396,22.8,5,446000
Volkswagen,2016,88012,Diesel,Manual,1,1199,21.3,7,455000
Volkswagen,2023,67814,CNG,Automatic,1,1598,19.1,5,1018000
Renault,2024,16138,Petrol,Manual,1,1497,14.2,5,893000
Ford,2019,109363,Diesel,Manual,1,1396,14.9,5,418000
Kia,2020,65694,CNG,Manual,1,998,18.3,5,815000
Hyundai,2015,113962,CNG,Manual,1,1497,17.9,5,316000
Volkswagen,2019,67411,Petrol,Automatic,1,1998,16.1,5,767000
Hyundai,2014,116303,Diesel,Manual,1,1199,24.1,5,260000
Honda,2022,25989,Diesel,Automatic,3,1248,22.4,5,965000
Ford,2020,8826,CNG,Manual,1,1598,17.1,5,668000
Tata,2015,80674,Petrol,Manual,1,1248,17.9,5,322000
Volkswagen,2022,88769,Diesel,Automatic,1,1197,16.5,7,881000
Honda,2024,97535,Diesel,Manual,1,1497,13.5,5,928000
Honda,2019,95890,Petrol,Automatic,1,1199,19.5,7,700000
Volkswagen,2024,75435,CNG,Manual,1,1998,15.8,5,1010000
Volkswagen,2023,12026,Diesel,Manual,1,1248,22.6,7,1048000
Volkswagen,2020,98079,Diesel,Automatic,1,998,22.3,5,714000
Maruti,2018,34470,CNG,Automatic,1,1998,19.4,7,611000
Mahindra,2015,80066,Petrol,Automatic,2,1497,19.0,5,543000
Mahindra,2017,60725,Petrol,Manual,1,998,17.8,5,565000
Volkswagen,2015,106663,Petrol,Manual,2,1497,23.2,7,375000
Renault,2016,107871,Petrol,Manual,2,1497,18.9,5,227000
Tata,2018,80069,Diesel,Manual,1,1598,23.9,5,568000
Honda,2016,37725,Petrol,Automatic,2,1598,18.4,5,717000
Ford,2020,64243,Petrol,Manual,1,1396,21.0,5,585000
Volkswagen,2019,81278,Petrol,Manual,1,1998,20.3,5,713000
Mahindra,2020,33551,Diesel,Manual,1,1497,22.8,5,939000
Renault,2016,79205,Diesel,Automatic,2,998,12.6,7,212000
Hyundai,2016,62840,Diesel,Manual,3,1598,14.6,5,425000
Tata,2016,119612,Diesel,Manual,1,1396,13.1,5,222000
Ford,2024,45043,CNG,Manual,1,1197,21.1,5,788000
Volkswagen,2015,22393,CNG,Manual,1,1998,12.1,5,577000
Ford,2016,67613,Petrol,Manual,1,1197,13.3,5,275000
Honda,2020,106379,Petrol,Manual,1,998,19.9,5,695000
Kia,2017,87323,CNG,Manual,2,1998,23.2,5,675000
Honda,2015,82276,CNG,Automatic,1,1598,16.1,5,546000
Tata,2024,16042,Petrol,Automatic,2,998,23.0,5,896000
Mahindra,2023,71784,Petrol,Automatic,1,998,22.2,5,998000
Ford,2015,36599,Diesel,Manual,1,998,24.8,5,304000
Ford,2023,60163,Diesel,Manual,2,1197,12.2,5,607000
Tata,2017,10220,Petrol,Automatic,1,2198,22.0,7,722000
Hyundai,2024,75328,CNG,Manual,1,1396,13.0,5,803000
Mahindra,2019,56213,CNG,Manual,1,1598,21.5,5,770000
Toyota,2015,61948,Petrol,Automatic,1,998,16.0,5,748000
Maruti,2016,96946,Petrol,Manual,1,1497,18.8,5,213000
Kia,2016,103274,Diesel,Manual,2,998,16.4,7,467000
Mahindra,2015,39465,CNG,Manual,1,2198,16.7,7,699000
Honda,2019,25618,Diesel,Manual,2,1197,15.0,5,724000
Maruti,2017,11026,Diesel,Automatic,1,1199,14.3,5,492000
Ford,2017,47179,Petrol,Automatic,2,1497,15.5,5,469000
Kia,2015,70803,CNG,Manual,1,2198,24.8,7,661000
Volkswagen,2018,106387,Diesel,Automatic,1,1998,12.1,5,657000
Renault,2018,101937,CNG,Manual,1,1998,25.0,5,504000
Toyota,2016,5835,Diesel,Manual,1,1497,20.3,5,984000
Maruti,2024,54319,CNG,Automatic,1,2198,24.8,7,945000
Maruti,2016,98277,Diesel,Manual,1,1248,23.7,7,242000
Volkswagen,2015,81122,Petrol,Manual,1,1598,13.0,5,458000
Honda,2017,43230,Diesel,Automatic,2,1598,21.1,5,743000
Volkswagen,2018,35619,Petrol,Manual,1,1197,14.0,5,672000
Volkswagen,2019,58282,Petrol,Automatic,3,1248,17.9,7,663000
Hyundai,2015,25658,CNG,Automatic,2,998,14.8,5,383000
Hyundai,2017,51627,Diesel,Manual,1,1396,22.7,5,508000
Ford,2021,77869,CNG,Manual,1,1197,22.5,5,552000
Maruti,2014,113838,Petrol,Manual,1,1598,16.8,5,150000
Renault,2018,111528,Petrol,Manual,3,1248,23.7,7,263000
Hyundai,2019,21059,Petrol,Automatic,1,1598,22.7,7,804000
Maruti,2020,94550,Diesel,Manual,1,1199,15.6,7,393000
Maruti,2023,86156,CNG,Manual,1,1998,17.4,7,658000
Hyundai,2018,55202,Petrol,Automatic,1,2198,15.2,5,700000
Kia,2021,76371,Diesel,Automatic,2,2198,16.2,5,977000
Maruti,2019,83265,Petrol,Manual,2,1396,12.8,7,375000
Kia,2023,35508,Petrol,Manual,1,1248,15.5,5,1031000
Renault,2020,51504,Petrol,Manual,1,1497,22.5,5,648000
Maruti,2019,79403,CNG,Manual,1,1248,22.9,7,453000
Tata,2016,69282,Petrol,Manual,1,1248,12.3,7,284000
Kia,2023,31406,Petrol,Automatic,1,1497,12.8,5,1154000
Honda,2015,115949,CNG,Automatic,3,1497,21.2,7,467000
Hyundai,2019,44552,Diesel,Manual,3,1598,22.3,7,665000
Kia,2016,97691,CNG,Automatic,1,1199,16.9,5,561000
Honda,2014,97013,CNG,Automatic,2,998,14.4,5,394000
Toyota,2024,79127,Petrol,Automatic,1,1197,15.1,5,1234000
Hyundai,2024,88768,CNG,Automatic,1,1396,14.7,5,860000
Tata,2015,99426,Petrol,Manual,1,1598,24.6,7,337000
Ford,2019,76568,Diesel,Manual,2,1248,14.1,5,373000
Tata,2014,46774,Diesel,Manual,1,1199,23.5,5,289000
Mahindra,2015,49295,CNG,Automatic,1,1598,24.3,5,700000
Ford,2016,12019,Petrol,Automatic,1,1248,17.3,5,510000
Tata,2018,36135,Petrol,Manual,1,2198,22.9,5,634000
Kia,2014,61047,Petrol,Automatic,2,1998,14.6,5,584000
Honda,2024,43248,Petrol,Automatic,2,1396,22.2,7,1122000
Tata,2015,89130,CNG,Automatic,1,1598,16.8,7,309000
Tata,2021,65956,Diesel,Manual,2,998,14.0,5,530000
Kia,2022,59262,CNG,Manual,1,1598,22.6,7,1047000
Volkswagen,2023,35886,Diesel,Automatic,1,998,18.5,5,962000
Volkswagen,2016,26910,Petrol,Manual,1,1598,13.0,7,590000
Honda,2023,38801,Diesel,Manual,1,2198,17.2,5,1114000
Mahindra,2021,119486,Petrol,Automatic,1,1199,13.9,5,724000
Renault,2015,107989,Diesel,Automatic,2,1396,17.0,7,243000
Renault,2021,9910,Petrol,Automatic,1,1598,12.5,5,752000
Maruti,2021,40203,Diesel,Manual,1,1396,16.0,7,653000
Hyundai,2017,22614,Diesel,Automatic,2,1497,15.5,7,632000
Hyundai,2017,62896,Petrol,Automatic,1,2198,23.3,5,688000
Honda,2015,45779,CNG,Automatic,1,2198,23.4,5,718000
Toyota,2017,114704,Petrol,Manual,1,998,23.9,5,762000
Kia,2021,71207,Diesel,Manual,1,1248,16.8,7,861000
Volkswagen,2023,77264,Diesel,Automatic,1,1396,21.7,5,965000
Maruti,2020,11507,Petrol,Manual,2,1248,20.8,5,612000
Ford,2022,7628,CNG,Manual,1,1199,20.4,5,751000
Tata,2023,110524,Diesel,Automatic,1,1598,23.1,7,775000
Toyota,2021,44602,CNG,Automatic,1,998,18.6,5,1183000
Renault,2023,42051,Diesel,Manual,1,1497,24.8,5,812000
Tata,2024,98204,CNG,Automatic,1,2198,22.0,5,957000
Ford,2024,46888,CNG,Manual,1,1998,25.0,5,927000
Ford,2020,101564,Petrol,Manual,1,1248,20.9,7,520000
Kia,2022,44347,Petrol,Manual,1,1998,13.7,5,1084000
Honda,2024,48992,CNG,Manual,1,1248,21.7,5,1066000
Kia,2019,39152,CNG,Automatic,1,1197,18.1,5,894000
Toyota,2022,20704,CNG,Automatic,1,1598,12.7,5,1273000
Toyota,2019,58633,CNG,Automatic,1,1199,22.1,7,1057000
Honda,2019,88165,Petrol,Manual,1,1248,21.9,5,734000
Honda,2021,107919,Petrol,Manual,1,1598,17.2,7,798000
Maruti,2014,74963,Petrol,Automatic,3,1497,21.8,5,150000
Maruti,2024,101154,Petrol,Manual,1,1497,16.1,5,659000
Mahindra,2023,45123,Petrol,Manual,2,1396,24.3,7,1028000
Renault,2022,49280,Diesel,Manual,1,1998,16.7,5,747000
Ford,2014,34939,Petrol,Manual,1,998,19.7,5,216000
Kia,2024,108825,Petrol,Automatic,2,1396,22.0,5,1054000
Maruti,2024,19170,CNG,Manual,1,1197,17.4,7,759000
Mahindra,2018,67180,CNG,Manual,1,998,15.9,5,673000
Mahindra,2018,86631,CNG,Manual,1,1197,18.7,5,622000
Hyundai,2015,70239,Petrol,Manual,2,2198,24.7,5,471000
